NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,YEARS_IN_BUSINESS,ANNUAL_SALES,AVERAGE_CHECK,NUMBER_OF_ROOMS,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,% Share of F&B Purchases from Company,Market_Type,Per_Share _Holds,Performance_Category
COHIBA RESTAURANT,WEST PALM BEACH,FL,33405,4039.0,12099.0,PALM BEACH,8960.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,89487.2811904074,81654.0682172782,7833.21297312915,10980.8522175672,14425.8254622941,18639.7659491476,31855.7496171627,0.046919962892995826,FSR,4.69,Study
PAPA MURPHY'S PIZZA,OLATHE,KS,66062,5607.0,20091.0,JOHNSON,3760.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,188878.554,154608.178609056,34270.3753909439,33065.792776148,18068.7392219388,39349.69875,35474.9580057398,0.04061806903883669,LSR,4.06,Study
WILLI'S BAR AND GRILL,DE PERE,WI,54115,2321.0,55009.0,BROWN,3080.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",AMERICAN AND AMERICAN TRADITIONAL,AMERICAN TRADITIONAL,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,152921.311398091,138732.208029197,14189.1033688939,21616.6123526109,23153.338349242,28753.8508702976,51121.7514879281,0.9388899362097199,FSR,93.89,Apex
PAPA MURPHY'S PIZZA,SONOMA,CA,95476,8978.0,6097.0,SONOMA,7362.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,188878.554,154608.178609056,34270.3753909439,33065.792776148,18068.7392219388,39349.69875,35474.9580057398,0.22687324087730654,LSR,22.69,Study
SOCKEYE'S AT KENAI LANDING,KENAI,AK,99611,5801.0,2122.0,KENAI PENINSULA,,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,89487.2811904074,81654.0682172782,7833.21297312915,10980.8522175672,14425.8254622941,18639.7659491476,31855.7496171627,0.08055984367087321,FSR,8.06,Study
QUIZNOS,AMHERST,NH,3031,2285.0,33011.0,HILLSBOROUGH,1122.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,10 TO 19,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,165348.2727,141521.395278838,23826.8774211619,26548.8220272218,24891.9861800549,36253.1462749135,34852.725499332,0.3465558682952,LSR,34.66,Study
CINDYS,SANBORNVILLE,NH,3872,4324.0,33003.0,CARROLL,,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,77333.1313955504,70563.8242935568,6769.30710199364,9489.43443224502,12466.5119011846,16108.1155908697,27529.1062380815,0.9978774081424947,FSR,99.79,Apex
RUBY TUESDAY,AUGUSTA,ME,4330,8082.0,23011.0,KENNEBEC,,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,501+ UNITS,10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$10 TO $15,NOT APPLICABLE,371684.073978619,339148.941930078,32535.1320485409,45608.8042198787,59917.448681017,77419.9869950881,132312.376014158,0.5037865397802959,FSR,50.38,Attention
CHIPOTLE MEXICAN GRILL,MAUMEE,OH,43537,1758.0,39095.0,LUCAS,8400.0,LSR - QUICK CASUAL,MEXICAN,MEXICAN,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$7 TO $10,NOT APPLICABLE,619358.544,556873.882520337,62484.6614796626,100107.701037258,94950.2369151276,105463.529164087,204645.531512758,0.9651820849506159,LSR,96.52,Apex
APPLETINIS CAFE,ALBANY,NY,12205,3428.0,36001.0,ALBANY,160.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,105546.509197048,95671.5893099321,9874.91988711634,13030.023214278,17070.7695806428,24222.3371222091,32790.9335265007,0.24644522239527722,FSR,24.64,Study
STARBUCKS,TALLAHASSEE,FL,32301,3053.0,12073.0,LEON,8240.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,194568.0996,136003.1016204,58564.9979796,52533.386892,25099.2848484,23348.171952,0.0,0.09353127668318562,LSR,9.35,Study
DEL TACO,SPRINGVILLE,UT,84663,4977.0,49049.0,UTAH,6520.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",MEXICAN,MEXICAN,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,398227.752,325972.780415816,72254.9715841837,69715.2537780612,38095.7670918367,82964.115,74794.6893903061,0.5261137151850981,LSR,52.61,Attention
ROCK & ROLL PIZZA,WOODLAND HILLS,CA,91303,2622.0,6037.0,LOS ANGELES,4472.0,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,43837.1527582863,40332.5169614879,3504.63579679837,7092.71530304432,5841.05966133062,7622.58285803646,12933.7749643749,0.34708940780617503,LSR,34.71,Study
SUBWAY,MASSILLON,OH,44646,4346.0,39151.0,STARK,1320.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,138976.5438,118949.863028152,20026.6807718478,22314.4969527377,20921.9131904569,30471.0589889538,29293.9941422641,0.8838231317665023,LSR,88.38,Apex
WENDY'S,FAIRBANKS,AK,99701,4007.0,2090.0,FAIRBANKS NORTH STAR,,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,481498.506,403242.964750643,78255.5412493573,75504.9071105399,41259.5120822622,89854.0485347044,131205.248421594,0.6090545199127841,LSR,60.91,Focus
T AND F ITALIAN DELI & PORK STORE,FRANKLIN SQUARE,NY,11010,3628.0,36059.0,NASSAU,5602.0,FSR - UPSCALE CASUAL DINING RESTAURANTS,"PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$30 TO $50,NOT APPLICABLE,36021.4681211533,33188.4645139747,2833.00360717858,4724.55174733745,7315.71358317152,6991.81835369226,11133.358687967,0.5645070685253074,FSR,56.45,Attention
DEERHEAD HOT DOGS,NEWARK,DE,19713,2149.0,10003.0,NEW CASTLE,6162.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",HOT DOGS,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,94123.782,80560.4361028272,13563.3458971729,15112.80097483,14169.6544058213,20636.9451647382,19839.7617552189,0.7860532814498603,LSR,78.61,Apex
RV RESORT LLC,CRESCENT CITY,CA,95531,9502.0,6015.0,DEL NORTE,,"CAMPING, RV PARKS, CAMPGROUNDS",SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",NOT APPLICABLE,UNCODED,,,,,,,,,others,,NoShare
TONETTA'S COFFEE & EATERY,RIO DELL,CA,95562,1724.0,6023.0,HUMBOLDT,,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,24740.8476,17293.8524724,7446.9951276,6680.028852,3191.5693404,2968.901712,0.0,0.4921299162109901,LSR,49.21,Attention
METRO CAFE DINER,ATLANTA,GA,30303,1601.0,13121.0,FULTON,520.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$1,000,001 - $2,500,000",$15 TO $20,NOT APPLICABLE,548726.075526084,497387.323756704,51338.7517693798,67741.8282876233,88749.2771618651,125929.58393655,170476.886480833,0.3931048872309829,FSR,39.31,Study
MIAN CONVENIENCE & DELI,BROOKLYN,NY,11218,4333.0,36047.0,KINGS,5602.0,LSR - DELIVERY AND TAKE AWAY ONLY,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,41641.3548,36604.8005278082,5036.55427219184,5724.15342065629,5859.92140538494,7646.80326891039,13322.7809530501,0.23264550526180094,LSR,23.26,Study
CHILI'S GRILL & BAR,ALTOONA,PA,16602,6545.0,42013.0,BLAIR,280.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,501+ UNITS,OVER 50,5 YEARS PLUS,"$2,500,001 - $5,000,000",$10 TO $15,NOT APPLICABLE,823127.819705287,751075.842819994,72051.9768852933,101004.800057787,132692.580468073,171453.526148512,293017.659924877,0.42456210412473483,FSR,42.46,Attention
YUMMY RESTAURANT,FAIRFAX,VA,22030,1502.0,51600.0,FAIRFAX CITY,8872.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,176883.776411442,161400.366102283,15483.4103091592,21705.1471742271,28514.6051112395,36844.0313377636,62967.2196735048,0.022140442415224726,FSR,2.21,Study
DELI BY THE BEACH,HILTON HEAD ISLAND,SC,29928,6133.0,45013.0,BEAUFORT,,LSR - DELIVERY AND TAKE AWAY ONLY,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,66558.8178,58508.4769848969,8050.34081510307,9149.38734377367,9366.3965309634,12222.5174462348,21294.9015300379,0.6674089034204046,LSR,66.74,Focus
LEYLAS CAFE,HYATTSVILLE,MD,20782,2335.0,24033.0,PRINCE GEORGE'S,8872.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,42407.0773152739,38439.47578756,3967.6015277139,5235.27690372114,6858.7909817655,9732.18850071525,13174.9279429244,0.5478523226768242,FSR,54.79,Attention
CAPTAINS RESTAURANT,KENAI,AK,99611,7809.0,2122.0,KENAI PENINSULA,,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,107353.492146778,97956.3716151401,9397.12053163825,13173.1885986709,17305.9536492343,22361.2108985842,38215.7768217278,0.5094283008043475,FSR,50.94,Attention
MONGOLIAN GRILL BD'S,DAYTON,OH,45440,1375.0,39113.0,MONTGOMERY,2000.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CHINESE,CHINESE,INDEPENDENT (1-9 UNITS),OVER 50,5 YEARS PLUS,"$2,500,001 - $5,000,000",$10 TO $15,NOT APPLICABLE,970073.636467113,910870.942224946,59202.6942421669,145488.662598898,187904.203464269,135080.627505284,360028.48275435,0.6397228712067833,FSR,63.97,Focus
SOUTH WIND DELI,READING,PA,19607,,42011.0,BERKS,6680.0,LSR - DELIVERY AND TAKE AWAY ONLY,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,72369.2394,63616.1235701725,8753.11582982751,9948.10642572571,10184.0599828776,13289.513251199,23153.8942211611,0.021296936921445297,LSR,2.13,Study
AJ COFFEE SHOP,QUANTICO,VA,22134,3461.0,51153.0,PRINCE WILLIAM,8872.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,100337.937,70136.217963,30201.719037,27091.24299,12943.593873,12040.55244,0.0,0.5618446643606562,LSR,56.18,Attention
SONIC DRIVE-IN,ROANOKE,VA,24012,7028.0,51161.0,ROANOKE,6800.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",UNDER $5,NOT APPLICABLE,339585.534,284394.397511568,55191.1364884319,53251.2019897172,29099.0174807198,63371.1936246787,92534.875588689,0.3098313316512292,LSR,30.98,Study
JOHNNY ROCKETS,ESTERO,FL,33928,2517.0,12071.0,LEE,2700.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,101-250 UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$10 TO $15,NOT APPLICABLE,316556.540629876,288846.962600405,27709.5780294712,38844.1859549263,51030.5972349032,65937.1896041606,112688.035258596,0.21362761110159512,FSR,21.36,Study
PIZZA HUT,SHAWNEE,KS,66217,9365.0,20091.0,JOHNSON,3760.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,271109.835,221919.306902105,49190.5280978954,47461.5112930485,25935.2520727041,56481.215625,50919.5449027423,0.03761043180406287,LSR,3.76,Study
TACO BUENO,NACOGDOCHES,TX,75965,3975.0,48347.0,NACOGDOCHES,,LSR - QUICK CASUAL,MEXICAN,MEXICAN,101-250 UNITS,10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,359197.7436,322959.68790426,36238.0556957404,58057.5834109533,55066.5057979716,61163.7024705882,118684.42579716,0.02416726426770044,LSR,2.42,Study
BURGER KING,HOUSTON,TX,77026,,48201.0,HARRIS,3362.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,412904.2473,345796.987456041,67107.2598439589,64748.4809390746,35381.6835732648,77053.4442262211,112513.753762982,0.5241306539831725,LSR,52.41,Attention
ANNA'S RESTAURANT,BOWLING GREEN,KY,42104,7643.0,21227.0,WARREN,,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$10 TO $15,NOT APPLICABLE,176130.873004123,163174.849759047,12956.0232450756,23911.6215446633,29239.8562125515,24304.2283096656,67696.6236225378,0.1568932709920693,FSR,15.69,Study
JACK'S CAFE,WESTWOOD,NJ,7675,2220.0,34003.0,BERGEN,5602.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,163860.567966139,148529.791101675,15330.7768644636,20229.0631944771,26502.3070908103,37605.0894388411,50907.8038929832,0.38451513419165584,FSR,38.45,Study
BRANN'S,GRAND RAPIDS,MI,49503,4100.0,26081.0,KENT,3000.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","STEAK, SEAFOOD & FISH",FAMILY STEAK / CHOPHOUSE,INDEPENDENT (1-9 UNITS),OVER 50,5 YEARS PLUS,"$500,001 - $1,000,000",$20 TO $30,NOT APPLICABLE,352158.503160384,329832.517495925,22325.9856644587,45762.1032127854,61509.5295654331,58631.4098665157,141397.909208238,0.9334254575518128,FSR,93.34,Apex
RAISING CANE'S CHICKEN FINGERS,NACOGDOCHES,TX,75965,3975.0,48347.0,NACOGDOCHES,,LSR - QUICK CASUAL,CHICKEN,FRIED CHICKEN,101-250 UNITS,10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,636477.5682,572265.835313377,64211.7328866233,102874.670465976,97574.6544181915,108378.53328483,210301.918819152,0.11154148406671938,LSR,11.15,Study
ARBY'S,WEST CHESTER,OH,45069,4453.0,39017.0,BUTLER,1642.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,266187.4488,227829.529421448,38357.9193785518,42739.8671221281,40072.59458256,58362.4634253131,56107.9830644877,0.5785654057331903,LSR,57.86,Attention
THE VILLAGERS LODGE,CHATTANOOGA,TN,37404,5806.0,47065.0,HAMILTON,1560.0,UNCODED HOTELS & MOTELS WITHOUT RESTAURANT,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",NOT APPLICABLE,251 - 500,,,,,,,,,others,,NoShare
EL POLLO LOCO,GILROY,CA,95020,6635.0,6085.0,SANTA CLARA,7362.0,LSR - QUICK CASUAL,MEXICAN,MEXICAN,251-500 UNITS,10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,450851.2056,405366.590537333,45484.6150626668,72871.6478358493,69117.3621481371,76770.329126935,148968.130813708,0.5522198409211402,LSR,55.22,Attention
BASKIN-ROBBINS,ASTORIA,NY,11105,1337.0,36081.0,QUEENS,5602.0,"LSR - ICE CREAM PARLORS, FROZEN DESSERTS",FROZEN DESSERT,ICE CREAM / DAIRY,501+ UNITS,10 TO 19,5 YEARS PLUS,"<=$500,000",UNDER $5,NOT APPLICABLE,62039.208,50810.111352,11229.096648,8685.48912,8003.057832,22954.50696,0.0,0.3717174783979611,LSR,37.17,Study
CASA DE TACOS & BURRITOS INC,BUFFALO,NY,14219,2687.0,36029.0,ERIE,1280.0,LSR - QUICK CASUAL,MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,110805.7626,99627.0025213195,11178.7600786805,17909.674877378,16986.9835692965,18867.8543126935,36611.9179296466,0.22054716486793124,LSR,22.05,Study
THE GELATO SPOT ITALIAN DESSERT LOUNGE,SCOTTSDALE,AZ,85251,3908.0,4013.0,MARICOPA,6200.0,NEIGHBORHOOD BARS & TAVERNS,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,others,,NoShare
THE FARMERS INN,KIRKLAND,IL,60146,,17037.0,DEKALB,,NEIGHBORHOOD BARS & TAVERNS,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,others,,NoShare
AMERICA'S BEST VALUE INN,STURBRIDGE,MA,1566,1058.0,25027.0,WORCESTER,1122.0,2* HOTELS WITHOUT RESTAURANT-MIDSCALE,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,501+ UNITS,1 TO 4,5 YEARS PLUS,"<=$500,000",NOT APPLICABLE,51 - 100,,,,,,,,,Star Hotels,,NoShare
KYOTO JAPANESE RESTAURANT,WORCESTER,MA,1605,1910.0,25027.0,WORCESTER,1122.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,135447.039832592,127180.832625458,8266.20720713442,20313.9307547727,26236.222874818,18860.7034007774,50269.1655677721,0.20190374651754583,FSR,20.19,Study
D J INN,SYRACUSE,NY,13208,1458.0,36067.0,ONONDAGA,8160.0,"BED & BREAKFAST, GUESTHOUSES, CHAMBRES D'HOTES",SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",NOT APPLICABLE,UNCODED,,,,,,,,,others,,NoShare
HOLIDAY INN,OMAHA,NE,68154,4450.0,31055.0,DOUGLAS,5920.0,2* HOTELS WITHOUT RESTAURANT-MIDSCALE,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,501+ UNITS,20 TO 49,5 YEARS PLUS,">$5,000,000",NOT APPLICABLE,251 - 500,,,,,,,,,Star Hotels,,NoShare
LOUIE'S STEAK & SEAFOOD,KENAI,AK,99611,6879.0,2122.0,KENAI PENINSULA,,FSR - FINE DINING RESTAURANTS,"STEAK, SEAFOOD & FISH",STEAK & SEAFOOD,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$50 TO $75,NOT APPLICABLE,214473.377696238,201313.75014063,13159.6275556085,23360.2856016719,42074.4699559001,30212.6360448289,92688.4220928557,0.5376200100174554,FSR,53.76,Attention
ARBY'S,NORTH CHARLESTON,SC,29418,6945.0,45019.0,CHARLESTON,1440.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,272782.2906,233474.046887153,39308.2437128474,43798.7549979244,41065.4003026602,59808.4039273291,57498.0684110939,0.005489920510088231,LSR,0.55,Study
WILD INDIAN SALOON,LARGO,FL,33770,1114.0,12103.0,PINELLAS,8280.0,NEIGHBORHOOD BARS & TAVERNS,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,others,,NoShare
STONEWOOD GRILL & TAVERN,BRADENTON,FL,34210,2401.0,12081.0,MANATEE,7510.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","BAR & GRILL, BREW PUB, & EATERTAINMENT",BAR & GRILL,10-50 UNITS,10 TO 19,5 YEARS PLUS,"$2,500,001 - $5,000,000",$10 TO $15,NOT APPLICABLE,730076.565111227,678851.046930548,51225.5181806789,94591.0362172324,118622.760795822,148165.519958225,257211.728854308,0.8034581694860121,FSR,80.35,Apex
GIOVANNI'S,JOHNSON CITY,TN,37615,3888.0,47179.0,WASHINGTON,3660.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$15 TO $20,NOT APPLICABLE,374693.418272176,341894.865160358,32798.5531118174,45978.0764172205,60402.5709794857,78046.8187922566,133383.644657613,0.09927455531496521,FSR,9.93,Study
MILANO PIZZERIA LLC,NEW CASTLE,DE,19720,3110.0,10003.0,NEW CASTLE,6162.0,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,193466.937834182,177999.89416989,15467.0436642917,31302.3502729712,25778.4061071528,33640.8199698344,57080.756380124,0.1980196830892299,LSR,19.8,Study
RUBY TUESDAY,NORFOLK,VA,23505,1015.0,51710.0,NORFOLK CITY,5720.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,501+ UNITS,10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$10 TO $15,NOT APPLICABLE,386549.678728691,352713.295301936,33836.3834267553,47432.9406414331,62313.8631956082,80516.4202484831,137604.245166137,0.9475764868539892,FSR,94.76,Apex
BACKSTAGE CAFE,COVINGTON,KY,41011,2412.0,21117.0,KENTON,1642.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,105546.509197048,95671.5893099321,9874.91988711634,13030.023214278,17070.7695806428,24222.3371222091,32790.9335265007,0.02422231014717735,FSR,2.42,Study
CHIPOTLE MEXICAN GRILL,SPRINGFIELD,OH,45504,1582.0,39023.0,CLARK,2000.0,LSR - QUICK CASUAL,MEXICAN,MEXICAN,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$7 TO $10,NOT APPLICABLE,619358.544,556873.882520337,62484.6614796626,100107.701037258,94950.2369151276,105463.529164087,204645.531512758,0.21745505563205758,LSR,21.75,Study
SUBWAY,ANDERSON,IN,46016,5036.0,18095.0,MADISON,3480.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,1 TO 4,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,126446.4108,108225.336692115,18221.074107885,20302.6206533222,19035.592321317,27723.7865979244,26652.8459839676,0.6831089772200576,LSR,68.31,Focus
