NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,YEARS_IN_BUSINESS,ANNUAL_SALES,AVERAGE_CHECK,NUMBER_OF_ROOMS,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,% Share of F&B Purchases from Company,Market_Type,Per_Share _Holds,Performance_Category
MIYAKO,IRVINE,CA,92606,5108.0,6059.0,ORANGE,4472.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,121879.065749498,114440.899415686,7438.16633381224,18279.0477012399,23608.0931464475,16971.3927503051,45233.6126576068,0.6789835613028146,FSR,67.9,Focus
KELLY'S DELI,CORONA,CA,92881,6604.0,6065.0,RIVERSIDE,4472.0,LSR - DELIVERY AND TAKE AWAY ONLY,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,80277.2046,70567.6142245267,9709.59037547328,11035.160539777,11296.8973238115,14741.6911265881,25683.9773236432,0.7369148510890778,LSR,73.69,Focus
SUBWAY,BAKERSFIELD,CA,93304,3181.0,6029.0,KERN,680.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,10 TO 19,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,160060.5765,136995.662219671,23064.9142803292,25699.8134282476,24095.961772993,35093.8016947394,33738.1651766074,0.7442238798647905,LSR,74.42,Focus
KELLEY'S CAFE,TEHACHAPI,CA,93561,6768.0,6029.0,KERN,680.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,115499.159437592,104693.070679638,10806.0887579538,14258.7068028158,18680.4807900951,26506.4150251154,35882.9987680036,0.5737635876453906,FSR,57.38,Attention
CHINA EXPRESS,OAKLAND,CA,94601,4623.0,6001.0,ALAMEDA,7362.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CHINESE,CHINESE,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,28909.1922817949,27144.8910915469,1764.30119024798,4335.71180968313,5599.73856035229,4025.54165714426,10729.2191475005,0.1134622307272255,FSR,11.35,Study
HARMONY RESTAURANT,MILL VALLEY,CA,94941,2361.0,6041.0,MARIN,7362.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ETHNIC FOOD,OTHER ETHNIC FOOD UNCLASSIFIED,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,189801.617472072,178218.200808168,11583.4166639047,28465.8632572328,36764.7572376107,26429.4591934462,70442.0631527062,0.9719809837652043,FSR,97.2,Apex
AQUS CAFE,PETALUMA,CA,94952,5125.0,6097.0,SONOMA,7362.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,163860.567966139,148529.791101675,15330.7768644636,20229.0631944771,26502.3070908103,37605.0894388411,50907.8038929832,0.18923555103052137,FSR,18.92,Study
STARBUCKS,DENVER,CO,80212,2001.0,8031.0,DENVER,2082.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,210494.4534,147135.6229266,63358.8304734,56833.502418,27153.7844886,25259.334408,0.0,0.7741082876066603,LSR,77.41,Apex
TACOS DON JOSES,LONGMONT,CO,80501,1406.0,8013.0,BOULDER,2082.0,LSR - QUICK CASUAL,MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,110805.7626,99627.0025213195,11178.7600786805,17909.674877378,16986.9835692965,18867.8543126935,36611.9179296466,0.8876368908750549,LSR,88.76,Apex
NEVA'S CAFE & COFFEE HOUSE,REHOBOTH BEACH,DE,19971,1127.0,10005.0,SUSSEX,,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,61117.6398,42721.2302202,18396.4095798,16501.762746,7884.1755342,7334.116776,0.0,0.6151010175981494,LSR,61.51,Focus
